Data negócio;Código IF;Instrumento financeiro;Código ISIN;Emissor;Data liquidação;Quantidade negociada;Preço mínimo;Preço médio;Preço máximo;Último preço;Preço de referência;Número de negócios;Volume financeiro (R$);Classificação do negócio;Oscilação
13/08/2026;LFSC24004NX;LFSC;BRITUBLFI1X1;ITAU UNIBANCO HOLDING S.A;13/08/2026;10;335236,17473;335320,05404458;335403,891416;335403,891416;335320,05404458;2;3353200,32;EXTRAGRUPO;-
13/08/2026;LFSC22002DA;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;4;349311,811166;349311,811166;349311,811166;349311,811166;349311,811166;1;1397247,24;EXTRAGRUPO;0,12
13/08/2026;LFSC250099E;LFSC;BRITUBLFI241;ITAU UNIBANCO HOLDING S.A;13/08/2026;8;344106,537558;344111,69931041;344116,860908;344116,860908;344111,69931042;2;2752893,59;EXTRAGRUPO;-
13/08/2026;LFSC22002DM;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;2;349519,832436;349525,07539059;349530,318188;349519,832436;349525,07539059;2;699050,14;INTRAGRUPO;-
13/08/2026;LF002400OR0;LF;BRMCSFLFI0V0;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;13/08/2026;28;64695,628666;64696,11389064;64696,599108;64696,599108;64697,47645783;6;1811491,15;INTRAGRUPO;-
13/08/2026;LF0021007RJ;LF;BRBEVELFNF24;BCO VOTORANTIM S/A;13/08/2026;7;85006,32121616;85154,68746897;85265,62375954;85265,62375954;85154,68746897;2;596081,45;INTRAGRUPO;2,18
13/08/2026;LF0025008R8;LF;-;ITAU UNIBANCO S.A.;13/08/2026;74;60541,94756;60541,94756;60541,94756;60541,94756;60541,94756;2;4480104,1;INTRAGRUPO;-
13/08/2026;LF002400U9T;LF;-;ITAU UNIBANCO S.A.;13/08/2026;42;63447,72671;63447,72671;63447,72671;63447,72671;63447,72671;2;2664804,52;INTRAGRUPO;-
13/08/2026;LFSC22002DD;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;6;349519,832436;349525,07539064;349530,318188;349519,832436;349525,07539064;2;2097150,44;INTRAGRUPO;-
13/08/2026;LF0026004E3;LF;BRBCOCLFI4N9;BANCO C6 S.A.;13/08/2026;12;53823,67566;53827,00919992;53830,342327;53830,342327;53827,00919992;2;645924,1;INTRAGRUPO;-
13/08/2026;LF002500Q2X;LF;BRBVKWLFID56;BCO VOLKSWAGEN S/A;13/08/2026;726;55058,38733712;55058,38733712;55058,38733712;55058,38733712;55058,38733712;2;39972389,2;INTRAGRUPO;0,05
13/08/2026;LFSC22002DL;LFSC;BRITUBLFI1J0;ITAU UNIBANCO HOLDING S.A;13/08/2026;20;349519,832436;349525,07539064;349530,318188;349519,832436;349525,07539064;2;6990501,5;INTRAGRUPO;-
13/08/2026;LF002400IF2;LF;-;ITAU UNIBANCO S.A.;13/08/2026;314;82500,66524;82500,66524;82500,66524;82500,66524;82500,66524;2;25905208,88;INTRAGRUPO;-
13/08/2026;LF002600LL7;LF;BRMCSFLFI1E4;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;13/08/2026;50;50458,690254;50459,44715735;50460,204038;50460,204038;50459,44715735;4;2522972,34;INTRAGRUPO;-
13/08/2026;LFSC25009EX;LFSC;BRITUBLFI258;ITAU UNIBANCO HOLDING S.A;13/08/2026;42;343767,567862;343916,30246001;344205,680778;344205,680778;343893,33804113;8;14444479,64;INTRAGRUPO;0,05
13/08/2026;LF002400OI1;LF;-;ITAU UNIBANCO S.A.;13/08/2026;21;64461,15784;64461,15784;64461,15784;64461,15784;64461,15784;3;1353684,3;INTRAGRUPO;-
13/08/2026;LF002500EU2;LF;BRDAYCLTF736;BANCO DAYCOVAL S/A;13/08/2026;62;58709,750703;58712,34226038;58714,933589;58714,933589;58712,34226038;2;3640165,21;EXTRAGRUPO;-
