Instrumento financeiro;Emissor;Código IF;Quantidade negociada;Preço negócio;Volume financeiro (R$);Taxa negócio;Origem negócio;Horário negócio;Data negócio;Cód. identificador do negócio;Código ISIN;Data liquidação;Situação negócio
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC23006T4;28;403675,8711;11302924,39;-;Registro;15:48:33;13/08/2026;#2026081347294112;BRITUBLFI1R3;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LLD;12;50461,40184;605536,82;-;Registro;10:05:39;13/08/2026;#2026081345567489;BRMCSFLFI1F1;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002500BXS;10;60756,02431;607560,24;-;Registro;18:44:37;13/08/2026;#2026081347960566;-;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;106;64698,2765;6858017,31;-;Registro;15:19:14;13/08/2026;#2026081347145102;BRMCSFLFI0V0;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DM;1;349530,3182;349530,32;-;Registro;15:48:26;13/08/2026;#2026081347293855;BRITUBLFI1J0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400OI1;7;64461,15784;451228,1;-;Registro;18:44:36;13/08/2026;#2026081347960528;-;13/08/2026;Confirmado
LF;BANCO BRADESCO S/A;LF002500FI9;1;51080,92324;51080,92;-;Registro;13:31:17;13/08/2026;#2026081346780099;BRBBDCLFCCE7;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25002S2;5;324881,7248;1624408,62;-;Registro;13:45:59;13/08/2026;#2026081346823197;BRITUBLFI209;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF0024013YO;11;62453,23732;686985,61;-;Registro;18:44:37;13/08/2026;#2026081347960548;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC23006TE;10;403675,8711;4036758,71;-;Registro;15:48:32;13/08/2026;#2026081347294105;BRITUBLFI1R3;13/08/2026;Confirmado
LF;BANCO AGIBANK S/A;LF0025001UP;44;63460,23519;2792250,35;-;Registro;10:05:40;13/08/2026;#2026081345567598;BRAGBKLFI1Z1;13/08/2026;Confirmado
LF;BANCO STELLANTIS S.A.;LF002400V0Z;3;63575,72224;190727,17;-;Registro;14:38:01;13/08/2026;#2026081346978049;BRBFIALFI697;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002D7;1;349530,3182;349530,32;-;Registro;15:48:20;13/08/2026;#2026081347293213;BRITUBLFI1J0;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400V8K;17;63313,21817;1076324,71;-;Registro;18:44:37;13/08/2026;#2026081347960545;-;13/08/2026;Confirmado
LF;ITAU UNIBANCO S.A.;LF002400I7D;18;65607,08406;1180927,51;-;Registro;18:44:36;13/08/2026;#2026081347960519;-;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC22002DD;3;349519,8324;1048559,5;-;Registro;15:48:31;13/08/2026;#2026081347294088;BRITUBLFI1J0;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002400OR0;5;64695,62867;323478,14;-;Registro;16:10:09;13/08/2026;#2026081347371020;BRMCSFLFI0V0;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC23006T4;28;403687,9816;11303263,48;-;Registro;15:48:28;13/08/2026;#2026081347293969;BRITUBLFI1R3;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC26004BL;17;311791,6582;5300458,19;-;Registro;12:29:08;13/08/2026;#2026081346462660;BRITUBLFI282;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LLD;1;50462,9157;50462,92;-;Registro;10:05:40;13/08/2026;#2026081345567603;BRMCSFLFI1F1;13/08/2026;Confirmado
LF;BCO VOLKSWAGEN S/A;LF002500EU5;1;58721,4155;58721,42;-;Registro;16:10:08;13/08/2026;#2026081347370938;BRBVKWLFICP1;13/08/2026;Confirmado
LFSC;ITAU UNIBANCO HOLDING S.A;LFSC25009EX;2;344205,6808;688411,36;-;Registro;16:10:08;13/08/2026;#2026081347370866;BRITUBLFI258;13/08/2026;Confirmado
LF;MERCADO CREDITO SOCIEDADE DE CREDITO FINANCIAMENTO E INVESTIMENTO SA;LF002600LL7;113;50458,69025;5701832;-;Registro;10:05:40;13/08/2026;#2026081345567597;BRMCSFLFI1E4;13/08/2026;Confirmado
